node0 p01,node1 p01,node2 p01,node3 p01,node4 p01
726.1306290171564,1049.766153228279,243.39019897108236,355.7156393593635,268.7450620179988
1011.8521532911242,502.02453045523475,206.01605144066593,605.9224436127633,250.84121019501188
681.3351717198107,935.431046501329,178.01590965394863,183.0910286824602,489.8783049382427
898.7218912241882,913.9415586030542,370.9536583277307,250.03620259780476,502.8863112951246
667.7625710316663,609.8162799879881,294.94660874507974,259.4752907723036,586.5654342663009
423.9821747225702,593.5282753792676,372.43256817741764,88.24687396017303,454.06322922117045
1044.5501671813747,879.3646481178316,562.6968688391038,44.25102514066778,555.643513394069
579.7687501911081,331.52102379742456,93.99292759073086,489.979774282073,331.8382441151671
671.566622934631,455.64641990481897,107.32649010972166,304.15417831898657,575.7495092134865
830.3030156709456,395.5515798868287,190.9243182616052,4.222891820531622,432.87872156838023
1059.6122532093013,414.2206441218561,246.8027876703801,243.56663644742,217.3294776048187
720.3378646340827,620.7845849137454,479.32372493104714,162.2457364383575,81.2960774190057
375.27253211889075,1109.1249858293572,10.019470897684641,17.101363769974537,390.09555838757694
669.6640146922825,578.6299760389437,409.8149995248892,118.92734003845928,560.8106819869038
617.9366110545769,498.3441753045535,150.12902114140658,198.0426947190814,38.03272890885628
491.17824625829473,360.3276657470209,540.1135016241899,171.8650206831432,368.5894496901729
521.9047742929922,427.8035108413618,128.25908062903696,153.29960699086786,109.93606205315172
469.03499889198235,633.7818853254536,105.6127160863774,218.99289271304343,142.3620296164894
411.34072390228187,520.2861184435593,199.6636645885848,148.58062285825068,123.1585716884266
528.3390153915975,220.41647533575804,470.211366276045,77.61158135839213,285.5779673251316
784.838040125441,374.49223175054453,210.98249635772189,13.257049341557158,497.36479458659113
641.7522583942225,248.06149650463811,252.76148643392978,36.63867540618009,124.20901740833087
490.9166750063316,430.2526178192303,165.54724625030968,169.0501647189754,211.7022142340839
482.0018925944389,714.6677351451783,565.3768600562279,7.108285418138008,470.8261118332174
410.7095818397979,282.72377009842353,346.8786920919306,71.85316384774919,402.3362110949387
513.1824755346754,172.5086780943747,161.1350161939304,280.8474318666991,399.716487709301
