node0 p05,node1 p05,node2 p05,node3 p05,node4 p05,node5 p05,node6 p05,node7 p05,node8 p05,node9 p05,node10 p05,node11 p05,node12 p05,node13 p05,node14 p05,node15 p05,node16 p05,node17 p05,node18 p05,node19 p05,node20 p05,node21 p05,node22 p05,node23 p05,node24 p05
5773.800218192026,6341.60975977489,6288.92236028009,5968.687356088202,6337.768619571199,6810.660049011799,6798.954061219397,5644.310780654731,5361.705384359453,4593.799170864271,4125.148508141171,4980.403470498464,4714.845131249152,4069.325739134916,3557.671658396099,3180.6744795064446,4524.028767795533,2579.6490941734032,3572.3937102217146,3340.529439842627,3500.6694024040207,5611.928965054881,5795.045749502496,4051.8517943241486,4095.343299295575
4624.86172050007,5647.381701930798,5890.135389065845,5419.894873970355,5626.964728757029,6072.248917192898,5357.5132383874325,5489.399103630111,5803.788882344129,4450.810153452428,4354.679536759759,4267.60338816848,4982.502688864237,3724.563126819901,3886.9310525635924,2571.272908323801,3717.427554277841,3600.4202500199603,4065.584540588421,2574.141455629833,2496.3426810446276,5357.110994378573,5514.765989599051,5449.99654309004,2761.88623119068
3549.1850303245833,5171.648757116657,6946.825725778047,5444.581240069567,5411.729785092111,6116.236700907908,6521.559192197327,5215.178302508669,5074.493644553424,4641.800855400282,3496.0308370127455,3650.111189356144,4911.738056755091,4250.674166692593,3569.242467756793,3119.42797577666,4212.720061833057,4610.781331558318,4035.091859807231,2273.0199496701116,5441.7852868155,5328.568177564913,5199.076297076265,5027.420391793726,3407.859178907299
6719.497791462373,6846.5295313338565,6411.311491271291,6069.770352398275,6310.709520100001,6309.266844306456,4626.647534288102,3253.3364793944947,4230.849877575597,5767.289464661418,3068.1451587450015,3897.442786931432,3964.2035926116705,4178.382078039716,3535.2628331954984,3401.946912144551,3158.042485220306,4063.407658417611,3705.1122509720503,4100.0909914382955,2512.2393982462913,4388.015372529726,4096.1643661669295,5318.648421665973,3950.9593616163097
6394.52889298109,5186.5313428315485,6040.1456755731315,6236.4025705940285,5556.131758594208,4473.694885209807,5043.718018250567,5920.989628973355,5528.342871343132,5113.812835942089,3761.6308327018164,2934.8988402753253,3815.091906340424,3299.413097632798,3685.2634712863132,2927.4913537092475,2209.3353796814995,3595.6129825954913,3888.8827077780484,1943.5382352633285,5366.132696339785,3533.5488720604967,5130.405562011331,3758.701298119104,2780.3183923120596
5242.7220782118675,6379.030066956252,6277.748480315322,6209.062207413884,4358.319419369197,5501.804303590115,6704.274477358784,5529.5577355542255,4643.489557412233,5373.046879421176,3854.9137662643247,4783.944532562061,4267.222506602799,2681.7786052547694,4099.3789671958375,2265.4430970258963,3321.6882610027046,4407.692410763315,3482.1184055052563,3499.452487252703,5035.182869430084,4947.596845067951,5312.8242049972105,2847.3114243313644,2863.1721857729244
6717.651342790906,6447.254869062387,5543.252320003877,5992.09126976527,5507.751537060054,5396.098284325424,5873.764860106594,6105.492519407414,4480.13612581753,3899.60148631423,3235.2220033806366,3762.5823290634903,4501.4634468509275,3282.644695461063,3873.2568428505947,2339.6471254317394,4064.102056815646,2778.848401880371,2852.772569040178,2573.7719218530096,4664.377988559011,3690.949598682289,4711.093481410175,4026.371322854893,3321.0336187949847
6023.902479087301,3944.3370641267416,5009.542437826904,6218.28031729745,5593.034031924246,5199.92539896413,6156.767850259633,5100.063252574211,2916.883254246189,4637.890168408681,3084.5084411121175,3599.319607262418,4404.320544639772,3943.754610784009,3568.8670449097376,3102.8241822007526,2782.6078265660153,4068.5698256187966,3249.6954300395228,1799.1300334254936,1960.0965154042437,3121.8322017946616,4856.274378071304,3559.9951660268976,2630.2056845436887
5615.865728267519,4690.775419276101,4941.176444095445,5374.746241035492,6100.13475589298,3738.097107692499,4033.5807230832124,4038.7971705661143,4119.123498853155,4900.528766196758,4781.744867257175,3217.9614844147673,4446.712994468188,3105.6659056834806,3837.36310206254,2704.7232279937184,2788.0566271745956,3374.9281953758164,3099.189069793277,2498.3399442544683,1784.8742489684696,4851.392987683457,4245.639246397894,2662.203808602481,3206.5461109000908
4807.579005600044,5517.301803861019,5184.835785655789,5679.698813475157,4339.816495264644,5430.264759125107,5303.459310714116,4402.5644723657515,4712.545845420887,3934.2610256495286,4197.222995469681,4115.789869817528,3739.0903405714203,3024.5651896120257,2887.8784347271,1470.777196795315,3779.1050957874427,3719.179088667794,3209.2856380652324,1631.8940560368392,1712.0843640599383,4735.105722258178,4507.300408183659,4659.950251141119,2748.776841634914
