node0 p05,node1 p05,node2 p05,node3 p05,node4 p05,node5 p05,node6 p05,node7 p05,node8 p05,node9 p05,node10 p05,node11 p05,node12 p05,node13 p05,node14 p05
5600.169995912226,5506.196684892901,3911.361234484575,5118.7950976848615,3699.0561833716265,4079.5624212419575,3032.36803304763,2239.7791446266006,2089.5145786800194,1604.458502586464,2503.5423686377662,1277.764856384878,866.343831272635,3381.0409294912906,1980.3385926638045
5883.727097776362,5029.891959081026,4820.886668830109,5242.168519699608,2512.3975864282197,3425.080248365406,2213.6486205365145,1912.1977689596436,1509.6284671987685,1316.1975375067425,1812.3408740429848,898.5886017466543,1020.0653861013988,2371.494098853069,1332.4607044101049
6222.930366219962,4391.6512845401385,5137.333627763173,4492.380219334105,3528.33571412845,4073.237620115143,3583.265784174546,2468.3435922109393,1318.0430031235173,719.8581352603366,1589.226942540628,1126.2035791571568,1074.8562960222337,3486.1231848447337,1795.341940607761
5871.772178256702,4132.006398665539,5420.200504455689,5194.824063761041,3245.836686005799,3002.960914933714,2960.7683759784045,2473.6571329677477,1315.0786497828808,2802.2774723241478,937.7034982341706,1076.9727113345848,3261.421107211091,3305.040057506151,1798.971696183464
5253.837630376805,4399.475838048857,4789.7183240751965,3793.061680682382,4561.532509963887,3526.2977081612075,1962.2201821659692,1624.1495698159197,1802.1217266258273,1497.572777533915,1520.756781183661,1414.165676451938,3171.9520481843992,2061.128181966345,1218.0493072922163
5802.471682320675,4785.713583880212,4642.079414608831,5015.925497373918,3782.0177895003562,2972.4640210980574,3063.234136199753,2093.275130314517,1961.3112966219644,655.6853900716661,1606.7932032333188,794.8736540279997,2232.964148492878,2567.2528502427353,1762.0735276529913
5569.528072732651,5238.147140572576,4778.213946363582,4088.2547711670527,3609.2726281484265,3691.8981611053123,3523.0813603397055,1481.2453581185976,1606.6203041631054,890.7678965451728,1544.012404453385,830.4885636273588,3439.5671478564873,2186.7521870585356,1510.1819271567354
4861.051904321465,4511.035578582564,4399.694287538547,4189.9810323946995,3398.118395958757,2899.0071268409197,2709.4961990426714,2999.7470569948846,1831.8331547232174,1176.843699246535,1200.9568291633134,1168.8316064922647,635.3532053879114,2914.7046107541623,1774.0290273015662
4941.923869969813,4645.046205487066,4327.743581538278,3771.9510269545026,3601.2415383393813,2282.4823976470448,2845.960706855422,2038.3633932641087,1741.6710942151685,2124.042607222588,866.5178797644268,991.8531148849339,3027.73359922004,2704.7746293116516,1208.3853735364319
4186.430269576145,5912.455920174501,4662.754921657751,3892.985282062314,4828.992062854169,3689.17790284088,2216.5225137278176,1917.3867414923493,1423.4861585867068,1142.643785975507,1706.2417907618512,809.4125928770934,3153.5974997947064,2427.7245411495087,972.5812938416425
4588.852281783809,4799.471109908114,4311.832209789213,4194.828585797321,3823.5899138135387,2278.0221731545926,2072.856125727058,2066.931569568711,1297.901307601916,2080.831740419272,1159.7094126738414,495.2596755885176,870.5054181270838,2713.1550291636713,1482.0579777022813
6296.6877365989085,4426.337754885898,4363.9632058803945,3500.411227146555,3378.933196121971,3445.9476920336965,2985.6238399440244,1758.835740776364,1122.0033612405166,2077.1586203871548,1463.6412485265948,308.2632267542927,348.9224110974278,1658.8587565267715,1615.8669742612396
4223.437692757865,5932.084569751325,4136.396938542885,3374.7087283245182,3054.1697874701326,3494.405814755187,3208.443417810051,2494.027319318279,1615.205920887754,864.344781986996,800.815392768157,1008.3015573831248,2569.4572990510665,2419.500061928639,1617.7736098635046
4923.288601993997,4931.918565368014,4386.432511343862,3280.398928502678,4134.47120620995,2996.6176858819163,2609.9150133516996,2248.5292453923184,1381.9590371166614,2446.3640162017,1285.4602287756766,534.4904796747087,261.77031623481827,2453.6684131004085,1927.2126586976542
4094.641647122378,4016.4002360681066,3707.2355198837236,4555.284386655862,3777.405330589806,3104.1188215879465,1736.0657943528852,1380.218265042799,1189.6794982505924,548.9753835488432,1257.1240488627595,1121.6544946803738,764.4494574161441,2794.611225504518,1424.2478869062822
5535.033231736767,5065.859264182213,4085.1054794518054,4437.5935404666825,3218.277348214769,2782.2380455611033,3139.617419085815,2286.8604584576547,480.68487044699214,1861.0280299337817,1092.8519455927094,257.0700129563196,3002.203689086109,2286.475178505441,1190.833909982921
4694.366207774947,4510.965101713056,4127.311441460997,4117.562573331981,4663.192777398112,3130.7470237070997,2318.005643090945,2268.1260787448587,918.8779472617952,782.0380625879696,885.5530938386222,848.933688215911,2299.0773696640886,2187.948271851677,1118.5462695606032
6187.507687871752,5855.298370003114,4234.66128984853,3512.9372247612478,2917.2883148461556,3149.369521061921,1807.41021537533,1755.6666950578617,850.7385085238233,465.1479559983673,1043.7843749668098,165.34812439400872,2260.8053905586476,1854.6722151998,2137.4519887496635
5113.111836212435,4935.686067499879,4419.48835839875,3856.0216745717817,3056.1715273138807,2911.8360383959475,1485.2306539898966,1750.4671648577223,601.8755485221076,1825.4958057322388,631.0759782606727,407.87723143979736,2735.400510505022,1801.7824559845983,679.9371284741613
4570.55310931274,4882.4519148274,3929.6488057496617,4448.211532009071,4044.0952126178054,2974.853566935875,1617.2250395739359,1157.3713466339532,1333.00539356125,488.684943586926,1377.4165888840919,963.1652795008374,2552.065171921428,1669.0261328803738,883.6754204742258
4892.279456248559,4057.3237409454987,3880.307907082922,3415.5742637919057,3135.6135025649746,2390.1096267140815,1633.7070476240917,1405.269715363962,1272.7086232323597,504.4384246438637,1481.5967920575283,278.8830253556003,480.7766479117556,1781.5580222469005,1259.1733716598997
4308.1163389342255,3482.403115384472,4228.5608814748775,3525.294764956296,4340.872258151328,2983.1011891236,1948.863381188433,2056.3581571775426,1090.2147013009605,1543.0955520189304,1062.705683290311,150.93801276789063,2735.130171061839,1748.175256124367,1861.292884649484
4525.343076618503,5370.084077473926,3471.826102826679,3253.9850345424193,2572.742212771377,1986.7854947186977,1485.3719004778025,940.6064292804887,762.4148550040455,320.46876828060203,596.4644739168514,890.4667686688123,337.06245643990866,1946.4919545350974,740.609895814082
4496.909180338274,5556.899519632512,3261.7475333139214,3995.5724477767594,2837.353180566729,2393.187242689652,2071.558810668583,1448.2759206169187,767.5385320259326,1386.0999144254565,528.4401866872329,398.243258235525,66.36544233557083,1630.9211008101772,573.7367206577104
5454.184312937366,5369.592697306702,4177.525001898887,3540.037756906655,2976.730337575844,2479.8770258827417,1768.4375935519247,882.193277257195,1020.8143866340225,167.73069807972607,641.685005215334,332.842244045807,2305.641998679227,2114.0288128468846,968.3621548231429
5284.02833698059,4316.661459983545,4087.521741654636,3962.9131560775863,2701.4084137249515,1925.0957056621974,1541.7261656352628,1262.627436939412,599.6276298566488,509.7095704416436,1261.4697669454945,131.71456355289993,2251.9328077380133,1455.2689926344012,585.1976830483059
4600.92249113607,4353.556580752678,3990.6697943739746,3548.4679285226202,2855.7134563591517,2701.006855007957,1540.7880349251564,1471.4712622030677,585.7419915811914,196.68373990771588,709.8629065990268,252.52742125251376,1683.2207305280735,2042.6426674985719,683.4369787372319
5112.366297904427,5161.665737028433,3571.2170258044625,3185.5051308927327,2359.882015433091,2436.7856015843026,1407.2435847138802,1345.2560721223838,683.3302713639494,1593.5259682177445,875.7358977032487,635.4312866364719,2078.215106939657,1873.0846591682127,1683.1685203524924
5075.382708605652,4616.2352236765555,3812.725212036872,3019.6127936237185,3243.029479851311,2215.4254101869683,2157.957238389348,1251.3137511793345,482.79629730302605,487.75266374003,894.1314710237878,590.256605707876,1730.7353858994134,1632.9169945184321,838.5969595439581
4399.681137755812,5018.076692483762,3855.4136564727496,2108.84777529159,3990.926590608561,2233.0233456159235,1840.5617332509316,1560.0423976987458,631.505061995842,223.01034957315065,540.0985383912916,370.8797086176245,222.47849596563472,1610.3228762873382,1105.1802282339659
4565.437065494701,3876.4844639364,3581.7357076605426,4050.9899493121284,2396.4746361419157,2451.1889868857697,2128.7775034542683,1164.7583169955021,442.6418866742459,240.26462499064084,945.9612050237259,147.29231319418832,2299.1105002818604,1956.1257119190984,679.0859045856017
